ICD_Code,EQI_Period,AAMR_Period,Lag,Quintile,MRR_mean,MRR_lower,MRR_upper,pct_diff,p
G30_F01_F03,2000_2005,2006_2010,5,Q2,1.206,1.1541,1.259,20.604,0.0002
G30_F01_F03,2000_2005,2006_2010,5,Q3,1.3075,1.2515,1.3657,30.7459,0.0002
G30_F01_F03,2000_2005,2006_2010,5,Q4,1.4098,1.3477,1.4762,40.9819,0.0002
G30_F01_F03,2000_2005,2006_2010,5,Q5,1.5427,1.4696,1.6186,54.2667,0.0002
"G30_F01_F03","2000_2005","2011_2015",10,"Q2",1.1887,1.1431,1.2374,18.8662,"0.0002"
"G30_F01_F03","2000_2005","2011_2015",10,"Q3",1.2603,1.2111,1.313,26.0274,"0.0002"
"G30_F01_F03","2000_2005","2011_2015",10,"Q4",1.3578,1.3034,1.4167,35.7804,"0.0002"
"G30_F01_F03","2000_2005","2011_2015",10,"Q5",1.4929,1.4312,1.5613,49.2948,"0.0002"
"G30_F01_F03","2000_2005","2016_2020",15,"Q2",1.1465,1.1047,1.1911,14.6536,"0.0002"
"G30_F01_F03","2000_2005","2016_2020",15,"Q3",1.1856,1.142,1.2323,18.5644,"0.0002"
"G30_F01_F03","2000_2005","2016_2020",15,"Q4",1.2686,1.2211,1.3214,26.8635,"0.0002"
"G30_F01_F03","2000_2005","2016_2020",15,"Q5",1.3713,1.3179,1.4316,37.1324,"0.0002"
"G30_F01_F03","2000_2005","2006_2010",5,"Q1",1,1,1,0,NA
"G30_F01_F03","2000_2005","2006_2010",5,"Q2",1.206,1.154,1.2629,20.5984,"0.0002"
"G30_F01_F03","2000_2005","2006_2010",5,"Q3",1.3074,1.2491,1.3706,30.7409,"0.0002"
"G30_F01_F03","2000_2005","2006_2010",5,"Q4",1.4093,1.3462,1.4753,40.9321,"0.0002"
"G30_F01_F03","2000_2005","2006_2010",5,"Q5",1.5424,1.47,1.6208,54.2366,"0.0002"
"G30_F01_F03","2000_2005","2011_2015",10,"Q1",1.2019,1.0965,1.3129,20.1875,"0.0002"
"G30_F01_F03","2000_2005","2011_2015",10,"Q2",1.4276,1.317,1.5494,42.7608,"0.0002"
"G30_F01_F03","2000_2005","2011_2015",10,"Q3",1.5137,1.3986,1.6383,51.3735,"0.0002"
"G30_F01_F03","2000_2005","2011_2015",10,"Q4",1.6305,1.5123,1.7594,63.0503,"0.0002"
"G30_F01_F03","2000_2005","2011_2015",10,"Q5",1.7927,1.6658,1.9309,79.2679,"0.0002"
"G30_F01_F03","2000_2005","2016_2020",15,"Q1",1.292,1.1867,1.4077,29.2009,"0.0002"
"G30_F01_F03","2000_2005","2016_2020",15,"Q2",1.4807,1.3679,1.6055,48.0728,"0.0002"
"G30_F01_F03","2000_2005","2016_2020",15,"Q3",1.5313,1.4167,1.6575,53.1265,"0.0002"
"G30_F01_F03","2000_2005","2016_2020",15,"Q4",1.6387,1.52,1.7687,63.8686,"0.0002"
"G30_F01_F03","2000_2005","2016_2020",15,"Q5",1.7714,1.6489,1.9092,77.1382,"0.0002"
