ICD_Code,Lag,Model,MRD_Improved,MRD_Worsened,Intercept,SM,Improved_p,Worsened_p,Improved_rhat,Worsened_rhat,Improved_ess_bulk,Worsened_ess_bulk,Improved_ess_tail,Worsened_ess_tail,Rhat_max,N
J40_J47_J60_J70_J84_D86_C34,5,EQI,"0.02(-1.21,1.26)","2.05(0.57,3.53)*","-4.00(-5.48,-2.53)***","0.71(0.22,1.18)**",0.9813,0.0102,1.0005,1.0015,4112,4275,3609,3997,1.0047,3137
"J40_J47_J60_J70_J84_D86_C34",5,"Air","-1.41(-2.65,-0.16)*","1.60(-0.03,3.25)","-3.09(-4.60,-1.55)***","0.71(0.21,1.22)**","0.0269","0.0539","1.0001","1.0004",4445,4595,3103,4071,1.0039,3137
"J40_J47_J60_J70_J84_D86_C34",5,"Water","0.99(-1.10,3.06)","-0.38(-2.10,1.33)","-3.58(-4.91,-2.27)***","0.73(0.24,1.21)**","0.3481","0.6713","1.0016","1.0011",5344,5667,3410,3860,1.0016,3137
"J40_J47_J60_J70_J84_D86_C34",5,"Land","-1.10(-2.35,0.18)","-0.51(-2.01,0.96)","-2.88(-4.40,-1.34)***","0.72(0.23,1.22)**","0.0927","0.5097","1.0006","1.0003",4495,4236,3916,3854,1.0034,3137
"J40_J47_J60_J70_J84_D86_C34",5,"Built","-0.67(-2.21,0.84)","0.84(-0.82,2.48)","-3.36(-5.08,-1.53)***","0.77(0.29,1.25)**","0.3835","0.3176","1.0003","1.0015",4747,4612,3729,3522,1.0015,3137
"J40_J47_J60_J70_J84_D86_C34",5,"Social","-4.57(-6.29,-2.85)***","0.09(-1.80,2.00)","-1.29(-3.19,0.58)","0.29(-0.21,0.80)","0.0002","0.9342","1.0018","1.0013",5457,4849,3603,3966,1.0018,3137
"J40_J47_J60_J70_J84_D86_C34",5,"RUCC_1_EQI","-0.09(-1.25,1.11)","1.39(-0.26,3.06)","-6.40(-7.96,-4.84)***","0.34(-0.15,0.83)","0.8654","0.0923","1.0008","1.0004",6010,7156,3897,3870,1.001,1089
"J40_J47_J60_J70_J84_D86_C34",5,"RUCC_1_Air","0.80(-0.38,1.97)","-0.30(-3.00,2.49)","-6.78(-8.40,-5.14)***","0.33(-0.17,0.82)","0.1798","0.8255","1.0005","1.0009",5208,6438,3894,3810,1.0015,1089
"J40_J47_J60_J70_J84_D86_C34",5,"RUCC_1_Water","1.32(-0.78,3.45)","-1.10(-2.74,0.58)","-6.42(-7.80,-5.00)***","0.28(-0.22,0.79)","0.2135","0.1964","1.0015","1.0010",5456,6458,3685,3292,1.0015,1089
"J40_J47_J60_J70_J84_D86_C34",5,"RUCC_1_Land","0.22(-1.04,1.49)","-0.41(-2.02,1.22)","-6.26(-7.96,-4.64)***","0.36(-0.13,0.85)","0.7321","0.6088","1.0018","1.0008",5569,5612,3695,3554,1.0018,1089
